name,isin,symbol
ISH.S.EU.600 RET.U.ETF A.,DE000A0H08P6,EXH8
ISH.S.EU.600 TEC.U.ETF A.,DE000A0H08Q4,EXV3
ISH.S.EU.600 TEL.U.ETF A.,DE000A0H08R2,EXV2
ISH.S.EU.600 T+L U.ETF A.,DE000A0H08S0,EXV9
MVV ENERGIE AG NA O.N.,DE000A0H52F5,MVV1
MAGFORCE AG,DE000A0HGQF5,MF6
PLAN OPTIK         O.N.,DE000A0HGQS8,P4O
CLIQ DIGITAL AG  O.N.,DE000A0HHJR3,CLIQ
2G ENERGY AG,DE000A0HL8N9,2GB
WESTGRUND AG,DE000A0HN4T3,WEG1
DEUTSCHE WOHNEN AG INH,DE000A0HN5C6,DWNI
INCITY IMMOBILIEN    O.N.,DE000A0HNF96,IC8
PNE WIND AG NA O.N.,DE000A0JBPG2,PNE3
DATAGROUP SE  INH. O.N.,DE000A0JC8S7,D6H
AURELIUS EQ.OPP.   O.N.,DE000A0JK2A8,AR4
NANOGATE AG,DE000A0JKHC9,N7G
ITN NANOVATION,DE000A0JL461,I7N
EMQTEC               O.N.,DE000A0JL529,EMQ
VERBIO VER.BIOENERGIE  ON,DE000A0JL9W6,VBK
BLUE CAP             O.N.,DE000A0JM2M1,B7E
MANZ AG,DE000A0JQ5U3,M5Z
MYBET HOLDING SE NA O.N.,DE000A0JRU67,XMY
MUEHLHAN             O.N.,DE000A0KD0F7,M4N
VECTRON SYSTEMS      O.N.,DE000A0KEXC7,V3S
MIC AG,DE000A0KF6S5,M3B
ACCENTRO R.EST.AG  O.N.,DE000A0KFKB3,E7S
ELEXXION AG,DE000A0KFKH0,E8X
CYTOTOOLS          O.N.,DE000A0KFRJ1,T5O
KROMI LOGISTIK  INH. O.N.,DE000A0KFUJ5,K1R
SHF COMMUNICAT.TECH.,DE000A0KPMZ7,S4K
NABALTEC AG INH.,DE000A0KPPR7,NTG
ETFS COM.SEC.DZ06/UN.HEAT,DE000A0KRJ02,OD7I
ETFS COM.SEC.DZ06/UN.HOGS,DE000A0KRJ10,OD7J
ETFS COM.SEC.DZ06/UN.CATL,DE000A0KRJ28,OD7K
ETFS COM.SEC.DZ06/UN.NGAS,DE000A0KRJ36,OD7L
ETFS COM.SEC.DZ06/UN.NICK,DE000A0KRJ44,OD7M
ETFS COM.SEC.DZ06/UN.SLVR,DE000A0KRJ51,OD7N
ETFS COM.SEC.DZ06/UN.SOYO,DE000A0KRJ69,OD7P
ETFS COM.SEC.DZ06/UN.SOYB,DE000A0KRJ77,OD7Q
ETFS COM.SEC.DZ06/UN.SUGA,DE000A0KRJ85,OD7R
ETFS COM.SEC.DZ06/UN.WEAT,DE000A0KRJ93,OD7S
ETFS COM.SEC.DZ06/UN.ALUM,DE000A0KRJS4,OD7A
ETFS COM.SEC.DZ06/UN.COFF,DE000A0KRJT2,OD7B
ETFS COM.SEC.DZ06/UN.COPA,DE000A0KRJU0,OD7C
ETFS COM.SEC.DZ06/UN.CORN,DE000A0KRJV8,OD7D
ETFS COM.SEC.DZ06/UN.COTN,DE000A0KRJW6,OD7E
ETFS COM.SEC.DZ06/UN.WTI,DE000A0KRJX4,OD7F
ETFS COM.SEC.DZ06/UN.UGAS,DE000A0KRJY2,OD7G
ETFS COM.SEC.DZ06/UN.BULL,DE000A0KRJZ9,OD7H
ETFS COM.SEC.DZ06/UN.ZINC,DE000A0KRKA0,OD7T
ETFS COM.SEC.DZ06/UN.IDX,DE000A0KRKB8,OD7U
ETFS COM.SEC.DZ06/UN.IDX,DE000A0KRKC6,OD7V
ETFS COM.SEC.DZ06/UN.IDX,DE000A0KRKD4,OD7W
ETFS COM.SEC.DZ06/UN.IDX,DE000A0KRKE2,OD7X
ETFS COM.SEC.DZ06/UN.IDX,DE000A0KRKF9,OD7Y
ETFS COM.SEC.DZ06/UN.IDX,DE000A0KRKG7,OD7Z
ETFS COM.SEC.DZ06/UN.IDX,DE000A0KRKJ1,OD72
ETFS COM.SEC.DZ06/UN.IDX,DE000A0KRKK9,OD73
ETFS COM.SEC.DZ06/UN.IDX,DE000A0KRKL7,OD74
ETFS OIL SEC DZ06/UN.OILB,DE000A0KRKM5,OESA
ETFS OIL SEC DZ06/UN.OILW,DE000A0KRKN3,OESB
MPH MITT.PHARMA HLDG,DE000A0L1H32,93M
HELIAD EQ.PARTN.KGAA,DE000A0L1NN5,HPBK
CROPENERGIES AG,DE000A0LAUP1,CE2
MEVIS MEDICAL SOL.NA O.N.,DE000A0LBFE4,M3V
UET AG   O.N.,DE000A0LBKW6,CFC
ALSTRIA OFFICE REIT-AG,DE000A0LD2U1,AOX
GERRESHEIMER AG,DE000A0LD6E6,GXI
GOLD BULL.SECS 04/UND DZ,DE000A0LP781,GG9B
HWA AG  INH.O.N.,DE000A0LR4P1,H9W
STEICO SE,DE000A0LR936,ST5
PYROLYX AG  INH. O.N.,DE000A0MFXR8,S26
M4E AG          INH. O.N.,DE000A0MSEQ3,MU4
M-U-T AG MESSGER.INH.O.N.,DE000A0MSN11,M7U
ENVITEC BIOGAS O.N.,DE000A0MVLS8,ETG
FAIR VALUE REIT-AG INH.ON,DE000A0MW975,FVI
DELIGNIT AG      INH.O.N.,DE000A0MZ4B0,DLX
ETFS MET.SEC.DZ07/UN.XPT,DE000A0N62D7,VZLA
ETFS MET.SEC.DZ07/UN.XPD,DE000A0N62E5,VZLB
ETFS MET.SEC.DZ07/UN.XAG,DE000A0N62F2,VZLC
ETFS MET.SEC.DZ07/UN.XAU,DE000A0N62G0,VZLD
ETFS MET.SEC.DZ07/UN.BSKT,DE000A0N62H8,VZLE
ISH.S.EU.600 UTI.U.ETF A.,DE000A0Q4R02,EXH9
ISH.S.EU.600 A+P U.ETF A.,DE000A0Q4R28,EXV5
IS.S.E.600 HEA.C.U.ETF A.,DE000A0Q4R36,EXV4
IS.S.E.600 R.EST.U.ETF A.,DE000A0Q4R44,EXI5
I.EB.R.MONEY MARKET U.ETF,DE000A0Q4RZ9,EXVM
ETFS S-NW.GL.AG.BUS.GO DZ,DE000A0Q8NA2,ETLV
ETFS DAXGL.G.MIN.GO UC.DZ,DE000A0Q8NC8,ETLX
ETFS RUS.2000US S.C.GO DZ,DE000A0Q8NE4,ETLZ
HAMBURG.HAFEN U.LOG.A-SP,DE000A0S8488,HHFA
DT.BOERSE COM. XETRA-GOLD,DE000A0S9GB0,4GLD
MUTARES AG,DE000A0SMSH2,MUX
M1 KLINIKEN AG  O.N.,DE000A0STSQ8,M12
TOM TAILOR HLDG  NA O.N.,DE000A0STST2,TTI
ETFS COM.SEC.DZ07/UN.IDX,DE000A0SVX34,9GAF
ETFS COM.SEC.DZ07/UN.IDX,DE000A0SVX42,9GAG
ETFS COM.SEC.DZ07/UN.IDX,DE000A0SVX59,9GAH
ETFS COM.SEC.DZ07/UN.IDX,DE000A0SVX67,9GAJ
ETFS COM.SEC.DZ07/UN.IDX,DE000A0SVX75,9GAK
ETFS COM.SEC.DZ07/UN.IDX,DE000A0SVX83,9GAL
ETFS COM.SEC.DZ07/UN.IDX,DE000A0SVX91,9GAM
ETFS COM.SEC.DZ07/UN.IDX,DE000A0SVYA6,9GAN
ETFS COM.SEC.DZ07/UN.IDX,DE000A0SVYB4,9GAP
ETFS COM.SEC.DZ07/UN.IDX,DE000A0SVYC2,9GAQ
EYEMAXX R.EST.AG,DE000A0V9L94,BNT1
DATRON AG INH.O.N.,DE000A0V9LA7,DAR
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9X09,9GA9
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9X25,4RTB
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9X33,4RTC
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9X41,4RTD
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9X58,4RTE
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9X66,4RTF
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9X74,4RTG
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9XU0,9GA3
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9XY2,9GA7
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9Y16,4RUA
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9Y24,4RUB
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9Y57,4RUE
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9Y81,4RUH
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9YA0,4RTK
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9YG7,4RTR
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9YH5,4RTS
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9YT0,4RT2
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9YU8,4RT3
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9YV6,4RT4
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9YY0,4RT7
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9YZ7,4RT8
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9ZC3,4RUM
ETFS COM.SEC.DZ08/UN.IDX,DE000A0V9ZE9,4RUP
ELANIX BIOTECHN.AG,DE000A0WMJQ4,ELN
AIXTRON SE NA O.N.,DE000A0WMPJ6,AIXA
CR CAPITAL REAL ESTATE AG,DE000A0WMQ53,CRZ
ETFS DAX DLY 2X LG GO DZ,DE000A0X8994,DEL2
ETFS DAX DLY2XSH.GO UC.DZ,DE000A0X9AA8,DES2
DEMIRE DT.MTS.RE AG,DE000A0XFSF0,DMRE
SHS VIVEON AG,DE000A0XFWK2,SHWK
DEUTSCHE ROHSTOFF AG,DE000A0XYG76,DR0
TECHNOTRANS AG NA O.N.,DE000A0XYGA7,TTR1
IBU-TEC ADV.MATER. INH.ON,DE000A0XYHT5,IBU
PSI AG NA O.N.,DE000A0Z1JH9,PSAN
DEAG DT.ENTERTAINM. O.N.,DE000A0Z23G6,ERMK
ADESSO AG  O.N.,DE000A0Z23Q5,ADN1
RIB SOFTWARE SE  NA EO 1,DE000A0Z2XN6,RIB
VERIANOS REAL ESTATE AG,DE000A0Z2Y48,VROS
FREENET AG NA O.N.,DE000A0Z2ZZ5,FNTN
SLM SOLUTIONS GRP AG,DE000A111338,AM3D
SOURCE-S.GS EQU.F.I.E.ADZ,DE000A1161M1,SMLU
SOURCE-S.M.US E.I.MLP ADZ,DE000A119M34,SMLP
SOURCE-S.M.US E.I.MLP BDZ,DE000A119M42,SMLD
SOURCE MK.S.JPX-N.400 ADZ,DE000A119T29,SMLN
ELUMEO SE,DE000A11Q059,ELB
OS 30.04.18,DE000A11QQM9,RCMP
WILEX AG O.N.,DE000A11QVV0,WL6
EPIGENOMICS AG NA O.N.,DE000A11QW50,ECX
7C SOLARPARKEN AG  O.N.,DE000A11QW68,HRPK
MYHAMMER HOLDING AG O.N.,DE000A11QWW6,MYRK
TLG IMMOBILIEN AG,DE000A12B8Z4,TLG
SOU.M.-S.RBIS E.R.E.E.ADZ,DE000A12D253,REQR
SCOUT24 AG NA O.N.,DE000A12DM80,G24
ETFS RO.GL RO.+AU.GO DZ,DE000A12GJD2,IROB
ECOMMERCE ALLIANCE NA O.N,DE000A12UK08,ECF
F24 AG NA O.N.,DE000A12UK24,F2Y
SOLVESTA AG,DE000A12UKD1,CB7
ROCKET INTERNET SE,DE000A12UKK6,RKET
CHORUS CLEAN ENERGY AG,DE000A12UL56,CU1
LLOYD FONDS AG,DE000A12UP29,L1OA
NORCOM INF.TECHN.AG,DE000A12UP37,NC5A
PANTALEON ENTERTAIN.AG,DE000A12UPJ7,PAL
ETFS FOR.EXC.DZ14/UN.CUR.,DE000A12Z306,JPE5
ETFS FOR.EXC.DZ14/UN.CUR.,DE000A12Z314,5CH5
ETFS FOR.EXC.DZ14/UN.CUR.,DE000A12Z322,5CH6
ETFS FOR.EXC.DZ14/UN.CUR.,DE000A12Z3Q6,SEUB
ETFS FOR.EXC.DZ14/UN.CUR.,DE000A12Z3R4,LEUB
ETFS FOR.EXC.DZ14/UN.CUR.,DE000A12Z3S2,5CH1
ETFS FOR.EXC.DZ14/UN.CUR.,DE000A12Z3T0,USBS
ETFS FOR.EXC.DZ14/UN.CUR.,DE000A12Z3U8,ENFX
ETFS FOR.EXC.DZ14/UN.CUR.,DE000A12Z3V6,5CH2
ETFS FOR.EXC.DZ14/UN.CUR.,DE000A12Z3W4,AUE5
ETFS FOR.EXC.DZ14/UN.CUR.,DE000A12Z3X2,5CH3
ETFS FOR.EXC.DZ14/UN.CUR.,DE000A12Z3Z7,EJP5
BOOST ISSUER ETP 2062,DE000A133ZR0,3QSS
BOOST ISSUER ETP 2062,DE000A133ZS8,US9L
BOOST ISSUER ETP 2062,DE000A133ZT6,O1LL
BOOST ISSUER ETP 2062,DE000A133ZU4,NGXL
BOOST ISSUER ETP 2062,DE000A133ZV2,O1LS
BOOST ISSUER NGAS.ETP2062,DE000A133ZW0,NGXS
BOOST ISSUER ETP 2062,DE000A133ZX8,US9S
BOOST ISSUER ETP 2062,DE000A133ZY6,3QQQ
HELLA KGAA HUECK+CO. O.N.,DE000A13SX22,HLE
WILD BUNCH AG O.N.,DE000A13SXB0,WBAG
WISDOMTREE E.A.EQ.INC.DZ,DE000A140SG3,WTEA
SOURCE-S.S+P 500 DZ,DE000A141DW0,D500
WISDOMT.GERM.EQ.U.EOA DZ,DE000A142K45,WTEZ
WISDOMTR.EUR.EQ.U.E.EOADZ,DE000A142K52,WTDF
WISDOMTR.JAP.EQ.U.E.DLHDZ,DE000A142K60,WTIF
WISDOMTR.JAP.EQ.U.E.ACCDZ,DE000A142K78,WTIZ
SS.M.II-FT.RA.E.E.I.P.ADZ,DE000A143TJ9,DVEU
4SC AG,DE000A14KL72,VSC
GBS SOFTWARE AG,DE000A14KR27,INW1
DT.KONSUM REIT-AG,DE000A14KRD3,DKG
WISDOMTREE E.M.SC DIV.DZ,DE000A14ND04,WTED
WISDOMTREE US EQ.INC.DZ,DE000A14ND12,WTEU
WISDOMTREE US SC.DIV.DZ,DE000A14ND20,WTEC
WISDOMTREE EUR.EQ.INC.DZ,DE000A14ND38,WTEE
WISDOMTREE EUR.SC.DIV.DZ,DE000A14ND46,WTES
WISDOMTREE E.M.EQ.INC.DZ,DE000A14NDZ0,WTEI
WISDOMTR.JAP.EQ.U.E.DLHDZ,DE000A14SLH0,WTDX
WISDOMTR.EUR.EQ.U.E.DLHDZ,DE000A14SLJ6,WTDH
ETFS LO IM G.GV.BD.AEH DZ,DE000A14YKA5,HCOE
ETFS ISE CYBER SEC.GO DZ,DE000A14ZT85,USPY
ETFS FOR.EXC.DZ15/UN.CUR.,DE000A15P0U3,5CHE
WALLSTREET:ONLINE AG,DE000A161010,WSOK
ERNST RUSS AG NA O.N.,DE000A161077,HXCK
AUDEN AG   INH.EO 1,DE000A161440,AD1
GRENKE AG NA O.N.,DE000A161N30,GLJ
AVES ONE AG O.N.,DE000A168114,AVES
SINGULUS TECHNOL. EO 1,DE000A1681X5,SNG
SHAREHOLD.VAL.BET.NA O.N.,DE000A168205,SVE
OS 01.08.17,DE000A17D8K9,
OS 01.08.19,DE000A17D8P8,
BOOST ISSUER WTI OIL ETC,DE000A18HC25,0LJC
BOOST ISSUER BRENTOIL,DE000A18HC33,0LJD
BOOST ISSUER ETP 2062,DE000A18HC41,0LJE
BOOST ISSUER ETP 2062,DE000A18HC58,0LJF
BOOST ISSUER ETP 2062,DE000A18HC66,0LJG
BOOST ISSUER ETP 2062,DE000A18HC74,0LJH
BOOST ISSUER ETP 2062,DE000A18HC82,0LJI
BOOST ISSUER ETP 62,DE000A18HC90,0LJJ
KPS AG NA O.N.,DE000A1A6V48,KSC
DOCCHECK AG NA O.N.,DE000A1A6WE6,AJ91
DB ETC IDX BRENT BST E 60,DE000A1AQGX1,XETC
HSBC EUR.ST.50 UC.ETF DZ,DE000A1C0BB7,H4ZA
HSBC FTSE 100 UC. ETF DZ,DE000A1C0BC5,H4ZB
HSBC MSCI JP UCITS ETF DZ,DE000A1C0BD3,H4ZC
HSBC MSCI USA UCITS ETFDZ,DE000A1C22K7,H4ZD
HSBC MSCI EUR. UC. ETF DZ,DE000A1C22L5,H4ZE
HSBC S+P 500 UCITS ETF DZ,DE000A1C22M3,H4ZF
HSBC MSCI BRAZ.UC.ETF DZ,DE000A1C22N1,H4ZG
HSBC MSCI P.XJP UC.ETF DZ,DE000A1C22P6,H4ZH
HSBC MSCI EM F.E.UC.ETFDZ,DE000A1C22Q4,H4ZI
HSBC MSCI WORLD UC.ETF DZ,DE000A1C9KL8,H4ZJ
ETFS L.DAT.ALL.COMM.GO DZ,DE000A1CXBV8,ETL2
BRENNTAG AG NA O.N.,DE000A1DAHH0,BNR
ETFS MET.SEC.DZ09/UN.XAU,DE000A1DCTL3,GZUR
ETFS FOR.EXC.DZ09/UN.CUR.,DE000A1DFSA1,XBJA
ETFS FOR.EXC.DZ10/UN.CUR.,DE000A1DFSB9,SCHE
ETFS FOR.EXC.DZ10/UN.CUR.,DE000A1DFSE3,SJPS
ETFS FOR.EXC.DZ10/UN.CUR.,DE000A1DFSF0,SJPL
ETFS FOR.EXC.DZ10/UN.CUR.,DE000A1DFSG8,LNOE
ETFS FOR.EXC.DZ10/UN.CUR.,DE000A1DFSJ2,XBJD
DB ETC PLC P GOLD EUR 60,DE000A1E0HR8,XAD5
DB ETC PLC P SLVR EUR 60,DE000A1E0HS6,XAD6
DB ETC IDX ENER BST E 60,DE000A1ED2J2,XCTH
DB ETC PLC P GOLD EUR H60,DE000A1EK0G3,XAD1
DB ETC PLC P PLAT EUR H60,DE000A1EK0H1,XAD3
DB ETC PLC P SLVR EUR H60,DE000A1EK0J7,XAD2
ETFS FOR.EXC.DZ10/UN.CUR.,DE000A1EK0K5,XBJE
ETFS FOR.EXC.DZ10/UN.CUR.,DE000A1EK0L3,XBJF
ETFS FOR.EXC.DZ10/UN.CUR.,DE000A1EK0M1,XBJG
ETFS FOR.EXC.DZ10/UN.CUR.,DE000A1EK0N9,XBJH
ETFS FOR.EXC.DZ10/UN.CUR.,DE000A1EK0P4,XBJJ
ETFS FOR.EXC.DZ10/UN.CUR.,DE000A1EK0R0,XBJL
ETFS FOR.EXC.DZ10/UN.CUR.,DE000A1EK0V2,XBJP
ETFS FOR.EXC.DZ10/UN.CUR.,DE000A1EK0W0,XBJQ
DB ETC PLC P PAL EUR H 60,DE000A1EK3B8,XAD4
WIGE MEDIA AG,DE000A1EMG56,WIG1
TONKENS AGRAR AG,DE000A1EMHE0,GTK
FORMYCON AG,DE000A1EWVY8,FYB
ADIDAS AG NA O.N.,DE000A1EWWW0,ADS
"OS 01.08.17 Basket 104,0018",DE000A1G0WE3,SIED
"OS 01.08.19 Basket 104,0018",DE000A1G0WF0,SIEE
HSBC MSCI TR UC. ETF DZ,DE000A1H49V6,H4ZK
WILLIAMS G.P.HLD.LS-05 DZ,DE000A1H6VM4,WGF1
NORMA GROUP SE NA O.N.,DE000A1H8BV3,NOEJ
ADLER MODEMAERKTE AG O.N.,DE000A1H8MU2,ADD
TELEFONICA DTLD HLDG AG,DE000A1J5RX9,O2D
SHW AG,DE000A1JBPV9,SW1
HSBC S+P BRIC 40 UC.ETFDZ,DE000A1JF7K2,H4ZN
HSBC MSCI CHINA U. ETF DZ,DE000A1JF7L0,H4ZP
HSBC MSCI ZA UC. ETF DZ,DE000A1JF7M8,H4ZQ
HSBC MSCI CANADA U.ETF DZ,DE000A1JF7N6,H4ZR
HSBC MSCI MEX.CAP.U.ETFDZ,DE000A1JF7P1,H4ZS
HSBC MSCI INDON.UC.ETF DZ,DE000A1JF7Q9,H4ZT
HSBC MSCI TAIWAN UC.ETFDZ,DE000A1JF7R7,H4ZU
HSBC MSCI MALAY.UC.ETF DZ,DE000A1JF7S5,H4ZV
HSBC MSCI EM L.A.U.ETF DZ,DE000A1JF7T3,H4ZW
SOURCE-S.S+P 500 DZ,DE000A1JM6F5,P500
SOURCE MKTS-S.MSCI EM ADZ,DE000A1JM6G3,EMSM
HSBC MSCI KOREA UC.ETF DZ,DE000A1JXC60,H4Z9
HSBC FTSE E./N.D.U.ETF DZ,DE000A1JXC78,H4ZL
HSBC MSCI RU CAP.UC.ETFDZ,DE000A1JXC86,H4ZM
HSBC MSCI EM UC. ETF DZ,DE000A1JXC94,H410
GESCO AG NA O.N.,DE000A1K0201,GSC1
CO.DON AG   INH. O.N.,DE000A1K0227,CNWK
SUESS MICROTEC AG NA O.N.,DE000A1K0235,SMHN
EUROMICRON AG NA O.N.,DE000A1K0300,EUCA
ARTNET AG NA O.N.,DE000A1K0375,ART
STARAMBA SE  O.N.,DE000A1K03W5,99SC
PFERDEWETTEN.DE AG,DE000A1K0409,EMH1
DB ETC IDX COM BST E 61,DE000A1KYN55,XCTL
ROPAL EUROPE AG,DE000A1MBGB4,RO5K
SOURCE PHY.MRKT.ETC00 XAU,DE000A1MECS1,8PSG
VONOVIA SE NA O.N.,DE000A1ML7J1,VNA
MEDIOS AG  O.N.,DE000A1MMCC8,ILM1
HUMANOPTICS AG  O.N.,DE000A1MMCR6,H9O1
MAIER + PARTNER O.N.,DE000A1MMCY2,MPRK
GERM.STARTUPS GRP NA O.N.,DE000A1MMEV4,GSJ
ETFS H.COM.SEC.Z12/UN.IDX,DE000A1N3G19,00XT
ETFS COM.SEC.Z12/UN.INDEX,DE000A1N49P6,OOEA
ETFS COM.SEC.Z12/UN.IDX,DE000A1N49Q4,OOEB
ETFS H.COM.SEC.Z12/UN.IDX,DE000A1NZLJ4,00XJ
ETFS H.COM.SEC.Z12/UN.IDX,DE000A1NZLK2,00XK
ETFS H.COM.SEC.Z12/UN.IDX,DE000A1NZLL0,00XL
ETFS H.COM.SEC.Z12/UN.IDX,DE000A1NZLM8,00XM
ETFS H.COM.SEC.Z12/UN.IDX,DE000A1NZLN6,00XN
ETFS H.COM.SEC.Z12/UN.IDX,DE000A1NZLP1,00XP
ETFS H.COM.SEC.Z12/UN.IDX,DE000A1NZLQ9,00XQ
ETFS H.COM.SEC.Z12/UN.IDX,DE000A1NZLR7,00XR
ETFS H.COM.SEC.Z12/UN.IDX,DE000A1NZLS5,00XS
SCY BETEILIG.AG  O.N.,DE000A1PG508,CSY
R. STAHL AG NA O.N.,DE000A1PHBB5,RSL2
HUGO BOSS AG NA O.N.,DE000A1PHFF7,BOSS
"Call 30.06.18 Praktik. 1,08",DE000A1R0XK5,PRA1
"Call 03.07.22 Praktik. 1,05",DE000A1R0XY6,PRAC
PANAMAX AG,DE000A1R1C81,ICP
SYGNIS AG,DE000A1RFM03,LIO1
RCM BETEILIGUNGS NA. O.N.,DE000A1RFMY4,RCMN
SM WIRTSCHAFTSBER.NA.O.N.,DE000A1RFMZ1,SMWN
ETFS COM.SEC.Z12/UN.INDEX,DE000A1RX1P2,OOEC
ETFS H.MET.SEC.Z12/UN.XAU,DE000A1RX996,GBSE
A.S.CREATION TAPETEN NA,DE000A1TNNN5,ACWN
DT.BETEILIG.AG   NA O.N.,DE000A1TNUT7,DBAN
BITCOIN GROUP SE  O.N.,DE000A1TNV91,ADE
MPC MUENCH.PET.CAP.,DE000A1TNWJ4,MPCK
BOOST ISSUER 3XSH.DZ13/62,DE000A1VFZ36,3DES
BOOST ISSUER 3LEV DZ13/62,DE000A1VFZ44,3DEL
BOOST ISSUER 3S.ESTX13/62,DE000A1VFZ51,PCFC
BOOST ISSUER 3L.ESTX13/62,DE000A1VFZ69,PCFD
HSBC MSCI AC FE XJU.ETFDZ,DE000A1W2EK4,H411
MEDIGENE AG NA O.N.,DE000A1X3W00,MDG1
WCM BET.GRD.AG  O.N.,DE000A1X3X33,WCMK
DIC ASSET AG NA O.N.,DE000A1X3XX4,DIC
BASTEI LUEBBE AG  O.N.,DE000A1X3YY0,BST
ETFS US EN.INF.MLP GO DZ,DE000A1XE2Q3,XMLP
ETFS-E F.MSCI CH.A GO DZ,DE000A1XEFE1,CASH
SOURCE-S.GS EQU.F.I.W.ADZ,DE000A1XES75,SMLW
S.CSOP M.-FTS.C.A50 U.ADZ,DE000A1XES83,SMLC
ETFS H.COM.SEC.Z12/UN.IDX,DE000A1Y7Y36,EHEN
SOLARWORLD AG   O.N.,DE000A1YCMM2,SWVK
GXP GERM.PROP.AG  O.N.,DE000A1YCNN8,GXP
SENDR SE NA O.N.,DE000A1YDAZ7,SD1
DECHENG TECHNOLOGY AG,DE000A1YDDM9,333
ETFS EQ.SEC.DZ/UNDATED,DE000A1YKTG2,GY3L
ETFS EQ.SEC.DZ/UNDATED,DE000A1YKTH0,EUL3
ETFS EQ.SEC.DZ/UNDATED,DE000A1YKTK4,GY3S
ETFS EQ.SEC.DZ/UNDATED,DE000A1YKTL2,UES3
OS 18.11.22,DE000A1Z3XR4,
BOOST ISSUER SILV.ZT13/62,DE000A1ZK3V1,PCFG
BOOST ISSUER SILV.ZT13/62,DE000A1ZK3W9,PCFH
BOOST ISSUER GOLD ZT13/62,DE000A1ZLCP4,PCFN
BOOST ISSUER GOLD ZT13/62,DE000A1ZLCQ2,PCFP
BOOST ISSUER 3S.BNDZ14/62,DE000A1ZLZB5,SBU3
BOOST ISSUER 3S.TRES14/62,DE000A1ZLZC3,TY3S
STARDSL AG,DE000A2AA105,IKHK
DF DT.FORFAIT AG  NA O.N.,DE000A2AA204,DFTK
CLERE AG O.N.,DE000A2AA402,CAG
MYBET HOLDING SE NA NEUE,DE000A2AA4N6,XMYN
SEVEN PRINCIPLES AG O.N.,DE000A2AAA75,T3T1
INNOGY SE  INH. O.N.,DE000A2AADD2,IGY
WISDOMTR.ENH.CO.U.E.DLADZ,DE000A2AE1R9,WTIC
FIR.T.G.-GER.ALPHD.AEO DZ,DE000A2AEM85,FTG1
SOURCE M.-S.GPR R.E.E.ADZ,DE000A2AFS54,REES
WISDOMTR.US QU.DV.GR.DADZ,DE000A2AGPX1,WTDM
WISDOMTR.GL.Q.DV.GR.DLADZ,DE000A2AHL75,WTEM
WISDOMTR.EO.QU.DV.GR.EADZ,DE000A2AHL91,WTIM
WISDOMTR.EUR.SC.DIV.EOADZ,DE000A2ARXE2,WTD7
WISDOMTR.E.M.EQ.INC.DLADZ,DE000A2ARXF9,WTD8
WISDOMTR.US EQ.INC.DLADL,DE000A2ARXG7,WTD9
WISDOMTR.US EQ.INC.EOHADZ,DE000A2AS9T2,WTDY
ETFS COM.SEC.DZ08/UN.IDX,DE000A2BDEA8,4RUJ
ETFS COM.SEC.DZ08/UN.IDX,DE000A2BDEB6,4RT6
ETFS COM.SEC.DZ08/UN.IDX,DE000A2BDEC4,4RUD
ETFS COM.SEC.DZ08/UN.IDX,DE000A2BDED2,4RUC
BOOST ISSUER ETP Z 2062,DE000A2BGQ05,3BFS
BOOST ISSUER ETP Z 2062,DE000A2BGQ13,VIXL
BOOST ISSUER ETP Z 2062,DE000A2BGQ21,3E3M
BOOST ISSUER ETP Z 2062,DE000A2BGQ39,3E3S
BOOST ISSUER ETP Z 2062,DE000A2BGQW9,OI1S
BOOST ISSUER ETP Z 2062,DE000A2BGQX7,2OIL
BOOST ISSUER ETP Z 2062,DE000A2BGQY5,2OIS
BOOST ISSUER ETP Z 2062,DE000A2BGQZ2,3BFM
AGRARIUS AG   INH. O.N.,DE000A2BPL90,AU2
MAX AUTOMATION AG NA O.N.,DE000A2DA588,MXHN
DT.CANNABIS AG  JGE O.N.,DE000A2DA6T5,FAM2
AUMANN AG,DE000A2DAM03,AAG
BAUMOT GROUP AG  O.N.,DE000A2DAM11,TINA
ADLER REAL ESTATE NEUE ON,DE000A2DAMT3,ADLN
DEUTSCHE WOHNEN AG NEUE,DE000A2DAMZ0,DWNN
